,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
25,3_5,8,16063.125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T03.tif,19442.982725217953,12220.3425,14974.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T03.tif,8313.24172615185,4421.0525
26,4_1,46,15638.239130434782,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,14585.58695652174,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
27,4_2,5,17136.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,14514.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
28,4_3,35,17545.77142857143,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,15264.371428571429,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
29,4_4,5,16186.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,15994.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
30,4_5,32,16826.28125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,14149.34375,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
31,5_1,45,15696.08888888889,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,13580.555555555555,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
32,5_2,28,15412.392857142857,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,13627.785714285714,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
33,5_3,13,17909.153846153848,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,13119.461538461539,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
34,5_4,10,18392.2,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,12891.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
35,5_5,78,18091.30769230769,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,15684.51282051282,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
36,5_6,11,17718.81818181818,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,12596.454545454546,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
37,5_7,5,16141.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,11229.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
38,5_8,11,15071.272727272728,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,10654.727272727272,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
39,6_1,80,15801.1375,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T06.tif,19030.860566448802,12072.5425,12895.8125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T06.tif,7975.901297679906,4455.26
40,6_2,27,18240.37037037037,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T06.tif,19030.860566448802,12072.5425,13640.62962962963,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T06.tif,7975.901297679906,4455.26
41,6_3,5,16993.6,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T06.tif,19030.860566448802,12072.5425,13208.8,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T06.tif,7975.901297679906,4455.26
