,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,bg_value_mask,fname_red,mean_intensity_red,bg_value_channel,intensity_ratio
401,Z1_C0_T13.tif,34_6,48,0.8894856452927337,25.071067811865476,12094.165833333334,6813.54,Z1_C1_T13.tif,1678.3500000000004,3502.36,7.2059855413550995
402,Z1_C0_T13.tif,34_7,26,0.5440588203494177,15.65685424949238,10653.23153846154,6813.54,Z1_C1_T13.tif,370.86923076923074,3502.36,28.72503474166719
403,Z1_C0_T13.tif,34_8,21,0.0,13.65685424949238,9979.817619047617,6813.54,Z1_C1_T13.tif,1096.2666666666662,3502.36,9.10345805678146
404,Z1_C0_T13.tif,34_9,74,0.8457751897644916,34.97056274847714,11714.5672972973,6813.54,Z1_C1_T13.tif,1280.0189189189193,3502.36,9.151870432658301
405,Z1_C0_T13.tif,34_10,8,0.5773502691896258,7.65685424949238,10538.52,6813.54,Z1_C1_T13.tif,42985.725,3502.36,0.24516324896230088
406,Z1_C0_T14.tif,35_1,61,0.8517775680629314,28.485281374238568,12210.629344262294,6813.54,Z1_C1_T14.tif,2032.8783606557379,3502.36,6.006571559118548
407,Z1_C0_T14.tif,35_2,45,0.5596540302118516,21.899494936611667,11093.856666666665,6813.54,Z1_C1_T14.tif,2160.6022222222223,3502.36,5.134613189121139
408,Z1_C0_T14.tif,35_3,76,0.7972980420524735,31.556349186104043,13295.49,6813.54,Z1_C1_T14.tif,1676.0036842105267,3502.36,7.932852490275268
409,Z1_C0_T14.tif,35_4,26,0.5440588203494177,15.65685424949238,9494.143846153846,6813.54,Z1_C1_T14.tif,1320.1261538461538,3502.36,7.191845884192886
410,Z1_C0_T14.tif,35_5,38,0.511237358145545,19.65685424949238,10012.963684210523,6813.54,Z1_C1_T14.tif,1874.78,3502.36,5.340873960790345
411,Z1_C0_T14.tif,35_6,59,0.8723664166155048,30.727922061357855,10522.108644067795,6813.54,Z1_C1_T14.tif,1383.8477966101698,3502.36,7.603515841729433
412,Z1_C0_T14.tif,35_7,81,0.6034678062654409,39.970562748477136,10695.286296296299,6813.54,Z1_C1_T14.tif,1452.7059259259265,3502.36,7.362320277918142
413,Z1_C0_T14.tif,35_8,12,0.0,9.65685424949238,9361.073333333336,6813.54,Z1_C1_T14.tif,1192.446666666667,3502.36,7.850307770578139
414,Z1_C0_T14.tif,35_9,80,0.8367970574423482,33.55634918610404,10609.940000000002,6813.54,Z1_C1_T14.tif,1066.3175000000006,3502.36,9.95007584513993
415,Z1_C0_T14.tif,35_10,30,0.4509717590117594,17.071067811865476,9400.889999999998,6813.54,Z1_C1_T14.tif,32320.44666666667,3502.36,0.2908651014930279
416,Z1_C0_T15.tif,36_1,56,0.8650377934614243,27.071067811865476,13618.00857142857,6813.54,Z1_C1_T15.tif,1240.2135714285712,3502.36,10.980373772028898
417,Z1_C0_T15.tif,36_2,43,0.3978147122322054,21.071067811865476,10551.260232558143,6813.54,Z1_C1_T15.tif,1776.12511627907,3502.36,5.940606399769136
418,Z1_C0_T15.tif,36_3,70,0.7690950674406158,30.14213562373095,12872.272857142854,6813.54,Z1_C1_T15.tif,1347.917142857143,3502.36,9.549750832501358
419,Z1_C0_T15.tif,36_4,8,0.5773502691896258,7.65685424949238,9226.83,6813.54,Z1_C1_T15.tif,564.4099999999999,3502.36,16.347743661522657
420,Z1_C0_T15.tif,36_5,32,0.0,17.65685424949238,9499.705,6813.54,Z1_C1_T15.tif,550.9724999999999,3502.36,17.241704440784254
421,Z1_C0_T15.tif,36_6,26,0.5440588203494177,15.65685424949238,9090.560769230768,6813.54,Z1_C1_T15.tif,2391.6984615384617,3502.36,3.8008808030855437
422,Z1_C0_T15.tif,36_7,53,0.8920090362192451,28.72792206135785,10220.292264150943,6813.54,Z1_C1_T15.tif,1109.961886792453,3502.36,9.207786668860631
423,Z1_C0_T15.tif,36_8,43,0.8658968471518331,23.071067811865476,10867.097441860467,6813.54,Z1_C1_T15.tif,1582.3809302325583,3502.36,6.867560923060012
424,Z1_C0_T15.tif,36_9,28,0.7338539565650274,17.071067811865476,8850.401428571426,6813.54,Z1_C1_T15.tif,144.83857142857127,3502.36,61.105279769595754
425,Z1_C0_T15.tif,36_10,65,0.8648300507309344,33.9350288425444,10328.53,6813.54,Z1_C1_T15.tif,774.5984615384615,3502.36,13.334044040684107
426,Z1_C0_T15.tif,36_11,30,0.4509717590117594,17.071067811865476,9337.63,6813.54,Z1_C1_T15.tif,30553.326666666675,3502.36,0.3056174570406844
