,mean_intensity_YFP_pp1,mean_intensity_nuf2_CFP,YFP_pp1@kt/YFP_pp1@cyto,condition,Experiment,nuf2_CFP@kt/nuf2_CFP@cyto,YFP_pp1@kt/YFP_pp1@cyto:nuf2_CFP@kt/nuf2_CFP@cyto,nuf2_CFP@kt/nuf2_CFP@cyto:YFP_pp1@kt/YFP_pp1@cyto
55,6913.584615384615,5774.076923076923,0.8868252094706963,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
56,9225.90909090909,5397.636363636364,1.183433662458746,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
57,8545.173913043478,5343.826086956522,1.096113820395721,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
58,7535.5625,5388.53125,0.9666080860095544,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
59,8938.0,5368.333333333333,1.146502742529625,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
60,6986.1,5750.675,0.8961269645990394,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
61,8623.875,5618.625,1.1062090331990009,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
62,7554.875,5491.75,0.9690853554451221,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
63,9203.09756097561,4951.951219512195,1.1805075624777623,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
64,9392.625,5031.75,1.2048187874303333,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
65,9595.416666666666,4999.083333333333,1.230831452679325,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
66,8983.285714285714,5000.642857142857,1.1523116702121026,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
67,8861.368421052632,5077.789473684211,1.1366729914189142,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
68,8970.0,4877.083333333333,1.150607473762669,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
69,9375.3125,5122.875,1.202598063696831,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
70,8779.625,5027.75,1.1261875297473327,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
71,10645.5,5016.9,1.3655286356678367,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
72,9091.297297297297,4919.162162162162,1.1661666239095456,cdki,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D,,,
