,label,mean_intensity_mask,fname_mask,mean_intensity_channel,fname_channel,mask_cyto,channel_cyto,mask_bg,channel_bg
30,2_5,5462.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6366.666666666667,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
31,2_6,5810.9655172413795,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6443.896551724138,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
32,2_7,5856.653846153846,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6135.153846153846,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
33,2_8,5581.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6290.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
34,2_9,5689.872340425532,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6427.063829787234,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
35,2_10,5750.333333333333,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6215.619047619048,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
36,2_11,5858.404255319149,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,5645.787234042553,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
37,2_12,5872.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6339.518518518518,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
38,2_13,5682.923076923077,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6057.846153846154,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
39,2_14,5799.14705882353,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,6218.705882352941,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,4630.287257684776,5144.313471502591,4234.76,4503.1975
